family,book01aa,book01ab,book01ac,book01ad,book02aa,book02ab,book02ac,book02ad,book03aa,book03ab,book03ac,book03ad,book04aa,book04ab,book04ac,book04ad,book05aa,book05ab,book05ac,book05ad,book06aa,book06ab,book06ac,book06ad,book07aa,book07ab,book07ac,book07ad,book08aa,book08ab,book08ac,book08ad,book09aa,book09ab,book09ac,book09ad,book10aa,book10ab,book10ac,book10ad,book11aa,book11ab,book11ac,book11ad,book12aa,book12ab,book12ac,book12ad
Anglo-Norman,6.27,5.85,5.32,6.75,6.21,7.54,6.02,7.65,6.96,8.95,5.59,7.73,7.22,6.7,6.54,5.7,5.73,6.08,8.22,7.63,7.75,7.31,5.66,6.88,6.39,6.83,6.4,6.57,8.78,6.33,7.52,4.91,6.04,7.82,6.54,5.85,8.51,5.15,7.2,8.18,7.36,3.83,6.23,4.39,5.93,7.16,6.21,7.31
Arabic,0.15,0.14,0.14,0.13,0.24,0.0,0.12,0.0,0.16,0.32,0.0,0.15,0.35,0.11,0.34,0.11,0.13,0.38,0.39,0.29,0.25,0.25,0.0,0.29,0.54,0.18,0.32,0.0,0.0,0.17,0.0,0.53,0.21,0.11,0.36,0.32,0.12,0.11,0.0,0.35,0.0,0.54,0.0,0.26,0.0,0.39,0.81,0.0
Aragonese,0.0,0.0,0.14,0.0,0.12,0.11,0.23,0.22,0.0,0.0,0.0,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.15,0.0,0.25,0.13,0.0,0.18,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.0,0.0
Dutch,0.29,0.0,0.29,0.26,0.0,0.0,0.0,0.22,0.16,0.16,0.31,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.39,0.0,0.0
"Dutch, Middle (ca. 1050-1350)",0.0,0.0,0.14,0.0,0.12,0.11,0.23,0.22,0.0,0.0,0.0,0.15,0.0,0.11,0.22,0.0,0.26,0.25,0.0,0.15,0.0,0.37,0.13,0.0,0.18,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.0,0.0
"Dutch, Old",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.35,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0
"English, Old (ca. 450-1100)",45.29,49.79,49.37,48.16,41.81,39.11,51.36,49.98,44.2,47.17,51.24,51.17,51.23,49.17,50.89,50.25,54.42,47.81,42.66,36.52,45.54,42.01,48.08,44.32,46.42,44.64,53.66,46.35,44.49,53.63,44.55,47.98,46.01,46.21,49.48,51.16,45.96,49.63,49.58,47.66,47.65,51.64,50.79,50.5,48.92,50.2,49.26,55.85
French,4.61,2.92,4.5,5.09,3.14,5.59,3.19,2.5,6.65,3.07,2.12,2.96,1.99,2.65,3.69,3.89,4.24,3.21,5.09,4.03,3.46,5.72,3.41,3.96,4.96,3.18,3.84,1.95,4.75,5.01,2.19,2.87,5.26,2.23,3.23,2.61,2.25,4.25,3.76,2.29,2.87,4.73,4.37,3.42,3.72,1.86,2.23,2.19
"French, Middle (ca. 1400-1600)",2.16,4.18,3.3,2.26,2.53,3.05,3.46,2.55,2.32,3.94,3.83,3.55,3.12,3.42,3.02,3.15,1.62,2.83,1.78,3.16,2.54,2.13,2.52,3.53,3.88,4.3,1.56,4.38,3.49,2.98,7.08,2.98,3.28,3.56,3.83,2.61,2.61,3.65,2.74,2.09,2.04,3.27,3.16,2.73,4.49,2.21,2.09,2.11
"French, Old (842-ca. 1400)",26.03,20.36,21.37,20.98,24.92,24.1,20.86,21.12,21.04,19.98,23.4,17.69,24.73,23.86,20.75,19.88,19.86,24.19,25.62,24.08,22.92,25.05,21.4,22.4,20.67,19.91,18.04,20.07,20.97,19.54,25.13,23.07,23.45,23.77,21.07,20.72,22.07,18.75,18.15,23.9,22.98,19.51,19.28,22.68,22.6,22.88,25.17,19.68
German,0.0,0.14,0.14,0.0,0.12,0.11,0.12,0.0,0.16,0.0,0.16,0.1,0.08,0.07,0.19,0.29,0.09,0.46,0.13,0.15,0.12,0.37,0.26,0.14,0.0,0.18,0.16,0.18,0.0,0.11,0.0,0.12,0.18,0.19,0.0,0.11,0.0,0.11,0.0,0.08,0.24,0.09,0.24,0.0,0.15,0.2,0.0,0.12
"German, Middle Low",0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.31,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.0
"Greek, Ancient (to 1453)",0.29,0.0,1.15,1.03,0.0,0.52,0.47,0.29,0.74,0.0,0.62,0.58,0.23,0.22,0.67,0.47,0.52,0.0,0.26,0.87,0.75,0.37,0.26,0.29,0.36,0.35,0.65,0.36,0.0,0.34,0.0,0.47,0.49,0.0,0.24,0.64,0.0,0.63,0.77,0.0,0.43,0.0,1.7,0.26,0.31,0.0,0.13,0.35
Hebrew,0.0,0.14,0.29,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.22,0.13,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.11,0.0,0.14,0.0,0.0,0.0,0.46,0.0,0.0,0.0
Icelandic,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.24,0.39,0.0,0.0,0.0,0.0
Italian,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.13,0.15,0.12,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.11,0.11,0.12,0.11,0.12,0.0,0.44,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.2,0.0
Japanese,0.0,0.0,0.29,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
Latin,12.06,11.29,11.54,10.85,16.46,15.75,10.61,11.66,14.29,12.57,9.58,12.78,7.85,9.75,10.07,11.15,9.8,9.88,12.58,18.56,12.87,13.05,15.01,13.42,13.26,16.96,9.09,15.75,15.7,8.05,10.09,12.98,11.65,12.77,10.13,11.63,13.86,13.76,13.63,12.29,12.99,12.39,10.48,11.26,10.11,12.3,10.53,10.0
Malay (macrolanguage),0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.11,0.22,0.0,0.26,0.12,0.0,0.0,0.37,0.0,0.0,0.29,0.0,0.0,0.32,0.36,0.0,0.51,0.19,0.35,0.0,0.0,0.24,0.21,0.24,0.22,0.22,0.23,0.57,0.27,0.0,0.13,0.0,0.0,0.0,0.0
Maori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Norse, Old",2.6,5.1,1.72,4.02,3.99,3.2,3.11,3.38,2.74,3.07,2.85,2.43,2.26,3.35,3.09,4.52,2.8,4.33,2.65,4.08,2.96,3.0,2.79,3.82,2.99,2.77,4.52,3.65,1.38,3.32,2.94,3.63,2.82,2.95,4.38,3.43,4.18,3.09,2.89,2.29,2.42,2.11,2.87,2.68,2.79,2.15,2.83,2.4
Persian,0.1,0.09,0.0,0.09,0.08,0.07,0.0,0.07,0.11,0.11,0.0,0.0,0.08,0.07,0.07,0.07,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.1,0.0,0.0,0.32,0.0,0.12,0.0,0.13,0.12,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.08,0.09,0.36,0.08,0.09,0.1,0.13,0.13,0.0
Portuguese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0
Scots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.0,0.0,0.0,0.0,0.24,0.22,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.54,0.08,0.35,0.41,0.13,0.13,0.0
Tamil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.27,0.24,0.0,0.0,0.0,0.0,0.0
Welsh,0.15,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.15,0.12,0.0,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0

