family,Abdiel,Adam,Adam_and_Eve,Beelzebub,Belial,Chaos,Death,Eve,Gabriel,God,Ithuriel,Mammon,Michael,Moloch,Nisroc,Noah,Raphael,Satan,SatanSerpent,Sin,Uriel,Voice_of_the_Apocalypse,Zephon,Zophiel,good_angels,narr,the_Son
Austronesian,0.0,0.025562372188139063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0339097999321804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011977482333213559,0.0
Celtic,0.0,0.0383435582822086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13586956521739135,0.0,0.0,0.0,0.0357653791130186,0.050864699898270596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05389867049946102,0.0
Germanic,50.67934782608697,42.72111451942742,63.621794871794876,49.66397849462366,52.968036529680376,63.99999999999999,63.13559322033899,49.73684210526315,58.19444444444445,46.53589315525875,44.44444444444444,49.17355371900827,45.70878623188407,53.9039039039039,64.95726495726495,57.85440613026821,42.67882689556511,43.285859613428286,57.25,55.57491289198607,57.760814249363854,50.0,65.21739130434783,79.62962962962963,52.80898876404495,39.18972332015811,48.614190687361415
Hellenic,0.0,0.0766871165644172,0.641025641025641,0.403225806451613,0.0,0.0,0.0,0.17543859649122806,0.18518518518518515,0.22259321090706724,0.0,0.0,0.45289855072463786,0.0,0.0,0.38314176245210724,0.5126371006199333,0.5934214988131569,0.0,0.6968641114982579,0.7633587786259541,0.0,0.0,0.0,1.1235955056179776,1.203736974487963,0.22172949002217296
Indo-Iranian,0.0,0.025562372188139063,0.0,0.13440860215053765,0.15220700152206998,0.0,0.0,0.05847953216374268,0.0,0.05564830272676681,0.0,0.27548209366391174,0.04528985507246378,0.30030030030030025,0.8547008547008547,0.12771392081736907,0.09537434430138293,0.0339097999321804,0.0,0.11614401858304298,0.25445292620865134,0.0,0.0,0.0,0.0,0.047909929332854234,0.07390983000739097
Japonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04528985507246378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047909929332854234,0.0
Latinate,49.32065217391304,56.49923312883436,35.09615384615385,49.798387096774206,46.65144596651446,35.99999999999999,36.86440677966101,49.41520467836257,41.34259259259259,52.85197551474679,55.55555555555556,50.55096418732782,53.40806159420292,45.79579579579578,34.18803418803419,41.251596424010216,56.069384835479255,55.391658189216685,42.75,43.26364692218351,41.22137404580152,50.0,34.78260869565217,20.370370370370367,46.067415730337075,58.887890765361135,50.20325203252033
Other,0.0,0.1533742331288344,0.3205128205128205,0.0,0.228310502283105,0.0,0.0,0.17543859649122806,0.0,0.16694490818030047,0.0,0.0,0.06793478260869568,0.0,0.0,0.0,0.32188841201716745,0.3051881993896236,0.0,0.34843205574912894,0.0,0.0,0.0,0.0,0.0,0.2335609054976644,0.4434589800443459
Semitic,0.0,0.383435582822086,0.3205128205128205,0.0,0.0,0.0,0.0,0.2631578947368421,0.2777777777777778,0.16694490818030047,0.0,0.0,0.13586956521739135,0.0,0.0,0.38314176245210724,0.28612303290414887,0.20345879959308238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25152712899748475,0.4434589800443459
Turkic,0.0,0.0766871165644172,0.0,0.0,0.0,0.0,0.0,0.17543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10172939979654119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07186489399928137,0.0

